                SCET                 WaveType  Rec.    Event_N       frlow_Peak     fhigh_Peak       Bxavg          Byavg          Bzavg          Bxrms          Byrms          Bzrms          Bx_pk          By_pk          Bz_pk          Exavg          Eyavg          Ezavg          Exrms          Eyrms          Ezrms          Ex_pk          Ey_pk          Ez_pk          B3_GSE_X       B3_GSE_Y       B3_GSE_Z       B3_GSM_X       B3_GSM_Y       B3_GSM_Z          Bmg          W_RAD_DIS       W_LSHELL        W_MLT      X_GSE_POS      Y_GSE_POS      Z_GSE_POS      X_GSM_POS      Y_GSM_POS      Z_GSM_POS       AE_INDEX          N_I3           N_PH        T_AVG_EL       T_AVG_EH       TPARA_EL       TPERP_EL       TPARA_EH       TPERP_EH       TANIS_EL       TANIS_EH       EVENT_LENGTH

       1998-10-26/15:24:04.250      Whistlers  TDSF   004514985          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.17764e-08   -1.88475e-09    0.00000e+00    3.02233e-01    3.09417e-01    0.00000e+00    1.12447e+00    1.35844e+00    0.00000e+00        -13.587         10.078         42.580        -13.694         25.793         35.305         45.818         10.490         11.902          8.620      38743.131     -54407.330       3931.841      38743.131     -48565.672      24839.332            NaN          0.017          0.347        192.051       1749.913        186.400        194.877       1434.858       1907.441          1.046          1.329      1.09173000e+00


       1998-11-13/22:35:10.512      Whistlers  TDSF   005927559          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -1.35093e-06   -6.98060e-07    0.00000e+00    6.96190e-01    7.43263e-01    0.00000e+00    3.80862e+00    3.73852e+00    0.00000e+00        -13.723         -3.691         46.727        -13.890         -0.515         46.820         48.840         10.237         10.279          7.402      21222.467     -61454.187       6020.463      21222.467     -60866.545      10398.399        745.043          0.024          0.512        226.390       1702.370        265.782        206.695       1564.541       1771.284          0.778          1.132      1.09173000e+00

       2000-04-09/21:18:47.129      Whistlers  TDSF   027488577          0.000          0.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.05292e-06   -4.59271e-06    0.00000e+00    5.54851e-01    5.80730e-01    0.00000e+00    1.98936e+00    1.92837e+00    0.00000e+00         21.570        -46.867         21.223         21.668        -50.955         -6.802         55.787         11.445         14.130         18.676      -4794.328      72622.918      -5671.601      -4794.328      64588.177      33684.248        770.145          0.002          0.023         53.610        159.025         69.243         45.793        191.814        142.630          0.681          0.767      2.72933000e-01




;-----------------------------------------------------------------------------------------
; => Radiation Belts
;-----------------------------------------------------------------------------------------
       1998-11-13/18:20:50.774      Whistlers  TDSS   005881592          0.000          0.000    0.00000e+00    6.64870e-02    0.00000e+00    0.00000e+00    6.31165e-01    0.00000e+00    0.00000e+00    6.31170e+00    0.00000e+00    0.00000e+00    0.00000e+00   -5.09754e-01    0.00000e+00    0.00000e+00    5.69025e+01    0.00000e+00    0.00000e+00    2.37803e+02        224.849        132.986        367.591        223.775        195.987        338.939        450.961          3.865          4.024          2.459     -19851.190     -14580.933      -1307.006     -19851.190     -14579.212       1323.811        364.144        170.540        127.822        115.798       1500.300        110.033        118.681       1199.615       1650.642          1.079          1.377      2.72933000e-01
       1998-11-13/18:20:50.777      Whistlers  TDSF   005881591        700.000       2100.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -6.17745e-04    1.01425e-03    0.00000e+00    1.24426e+01    1.66444e+01    0.00000e+00    1.22913e+02    2.01983e+02    0.00000e+00        224.849        132.988        367.591        223.776        195.988        338.938        450.961          3.865          4.024          2.459     -19851.185     -14580.949      -1307.005     -19851.185     -14579.228       1323.815        364.139        170.539        127.822        115.798       1500.305        110.033        118.681       1199.620       1650.647          1.079          1.377      2.72933000e-01
       1998-11-13/18:20:57.398      Whistlers  TDSS   005881612        900.000       2200.000    0.00000e+00    2.09959e-04    0.00000e+00    0.00000e+00    7.29856e-01    0.00000e+00    0.00000e+00    4.69987e+00    0.00000e+00    8.10188e-04    4.17742e-04    4.13120e-04    1.93685e+01    1.42588e+01    6.87754e+00    1.21409e+02    9.72227e+01    5.37674e+01        225.133        136.954        366.811        224.061        199.727        337.487        451.655          3.867          4.027          2.465     -19840.228     -14615.881      -1303.709     -19840.228     -14613.121       1332.111        351.117        168.804        127.591        115.830       1512.183        109.978        118.756       1210.252       1663.149          1.080          1.375      2.72933000e-01
       1998-11-13/18:20:57.401      Whistlers  TDSF   005881611        800.000       2500.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.79055e-03   -3.96823e-04    0.00000e+00    2.10695e+01    1.80205e+01    0.00000e+00    1.20567e+02    1.36517e+02    0.00000e+00        225.133        136.955        366.812        224.061        199.728        337.487        451.655          3.867          4.027          2.465     -19840.223     -14615.897      -1303.707     -19840.223     -14613.136       1332.115        351.111        168.803        127.591        115.830       1512.188        109.978        118.756       1210.256       1663.154          1.080          1.375      2.72933000e-01
       1998-11-13/18:20:58.506      Whistlers  TDSF   005881614        700.000       2100.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -8.61407e-05    4.04160e-04    0.00000e+00    1.59969e+01    1.88126e+01    0.00000e+00    1.15182e+02    1.93443e+02    0.00000e+00        225.138        137.288        366.918        224.065        200.070        337.536        451.845          3.868          4.027          2.466     -19838.392     -14621.725      -1303.157     -19838.392     -14618.791       1333.499        348.938        168.513        127.552        115.835       1514.171        109.969        118.768       1212.031       1665.241          1.080          1.375      2.72933000e-01
       1998-11-13/18:20:58.872      Whistlers  TDSS   005881617        900.000       2200.000    0.00000e+00    2.09402e-04    0.00000e+00    0.00000e+00    8.24493e-01    0.00000e+00    0.00000e+00    4.80105e+00    0.00000e+00   -6.58854e-03   -6.35719e-03   -7.26955e-03    2.44085e+01    1.94903e+01    8.91886e+00    1.58876e+02    1.42817e+02    6.89333e+01        225.145        137.298        366.949        224.072        200.084        337.565        451.876          3.868          4.028          2.466     -19837.785     -14623.655      -1302.975     -19837.785     -14620.664       1333.957        348.218        168.418        127.540        115.837       1514.827        109.966        118.772       1212.618       1665.932          1.080          1.375      2.72933000e-01
       1998-11-13/18:20:58.877      Whistlers  TDSF   005881616        700.000       2100.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -2.66511e-03   -4.70077e-03    0.00000e+00    2.15423e+01    2.42451e+01    0.00000e+00    1.07352e+02    1.84716e+02    0.00000e+00        225.145        137.298        366.949        224.073        200.084        337.566        451.877          3.868          4.028          2.466     -19837.777     -14623.682      -1302.972     -19837.777     -14620.689       1333.963        348.209        168.416        127.539        115.837       1514.836        109.966        118.772       1212.626       1665.941          1.080          1.375      2.72933000e-01
       1998-11-13/18:21:06.971      Whistlers  TDSF   005881641        800.000       2200.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00   -2.77447e-04   -4.16334e-05    0.00000e+00    1.79039e+01    1.49079e+01    0.00000e+00    9.94746e+01    1.13907e+02    0.00000e+00        225.353        136.872        367.752        224.279        199.773        338.452        452.504          3.870          4.031          2.473     -19824.338     -14666.352      -1298.941     -19824.338     -14662.092       1344.092        343.444        166.295        127.257        115.876       1529.357        109.900        118.863       1225.623       1681.223          1.082          1.373      2.72933000e-01
       1998-11-13/18:21:07.336      Whistlers  TDSF   005881643        600.000       2500.000    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.43067e-03    2.59557e-04    0.00000e+00    1.49841e+01    2.20579e+01    0.00000e+00    1.09715e+02    2.94671e+02    0.00000e+00        225.315        136.874        367.782        224.240        199.779        338.481        452.509          3.870          4.031          2.473     -19823.732     -14668.276      -1298.759     -19823.732     -14663.959       1344.548        343.310        166.199        127.244        115.877       1530.012        109.897        118.867       1226.209       1681.913          1.082          1.372      2.72933000e-01
       1998-11-13/18:21:07.341      Whistlers  TDSS   005881644        600.000       2500.000    0.00000e+00    8.90667e-04    0.00000e+00    0.00000e+00    6.28589e-01    0.00000e+00    0.00000e+00    5.54426e+00    0.00000e+00    2.14420e-03    8.15209e-03   -2.74381e-03    1.55853e+01    1.69314e+01    7.35194e+00    1.74221e+02    2.21133e+02    8.06134e+01        225.315        136.874        367.782        224.240        199.779        338.482        452.509          3.870          4.031          2.473     -19823.723     -14668.302      -1298.756     -19823.723     -14663.984       1344.554        343.308        166.198        127.244        115.877       1530.021        109.897        118.867       1226.217       1681.922          1.082          1.372      2.72933000e-01
