               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     TITLE                    ISTP WIND spin phase CDF
     PROJECT                  ISTP>International Solar-Terrestrial Physics
     DISCIPLINE               Space Physics
     SOURCE_NAME              WIND>Wind Interplanetary Plasma Laboratory
     DATA_VERSION             1
     DATA_TYPE                K0>Key Parameter
     DESCRIPTOR               SPHA>Spin Phase
     START_DATE               1995-10-10T00:03:10.190Z
     END_DATE                 1995-10-10T23:59:30.190Z
     ADID_REF                 NSSD0137
     LOGICAL_FILE_ID          WI_K0_SPHA_19951010_V01
     TEXT                     To be supplied
     MODS                     12/17/92 - Original Implementation, CCR 87
                              6/14/94 - CCR ISTP 1852, updated CDHF skeleton to CDF standards - JT
                              11/9/94 - Correct errors made in ccr 1852.  CCR 1884
     LOGICAL_SOURCE           WI_K0_SPHA
     LOGICAL_SOURCE_DESCR     Wind Spin Phase
     INSTRUMENT_TYPE          Ephemeris
     NSSDC_ID                 xxno-00354
     ALT_LOGICAL_SOURCE       Wind_Spin-Phase_Key-Parameters-K0_92sec_cdf
     MISSION_GROUP            Wind
                              !___Interplanetary Data near 1 AU

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Spin phase EPOCH time
 2. Spin phase angle
 3. Average spin rate
 4. Std dev of spin rate

EPOCH                        SP_ANGLE    AVG_SPN_RT    STDV_SPN_R
dd-mm-yyyy hh:mm:ss.ms            rad       rad/sec       rad/sec
03-04-1996 01:40:56.550       0.76417       1.98833   0.00000E+00
03-04-1996 01:41:42.550       4.26676       1.98833   0.00000E+00
03-04-1996 01:42:28.550       1.48662       1.98833   0.00000E+00
03-04-1996 01:43:14.550       4.98921       1.98833   0.00000E+00
03-04-1996 01:44:00.550       2.20903       1.98833   0.00000E+00
03-04-1996 01:44:46.550       5.71162       1.98833   0.00000E+00
03-04-1996 01:45:32.550       2.93132       1.98833   0.00000E+00
03-04-1996 01:46:18.550       0.15118       1.98833   0.00000E+00
03-04-1996 01:47:04.550       3.65374       1.98833   0.00000E+00
03-04-1996 01:47:50.550       0.87359       1.98833   0.00000E+00
03-04-1996 01:48:36.550       4.37618       1.98833   0.00000E+00
03-04-1996 01:49:22.550       1.59588       1.98833   0.00000E+00
03-04-1996 01:50:08.550       5.09860       1.98833   0.00000E+00
03-04-1996 01:50:54.550       2.31830       1.98833   0.00000E+00
03-04-1996 01:51:40.550       5.82104       1.98833   0.00000E+00
03-04-1996 01:52:26.550       3.04071       1.98833   0.00000E+00
03-04-1996 01:53:12.550       0.26056       1.98833   0.00000E+00
03-04-1996 01:53:58.550       3.76316       1.98833   0.00000E+00
03-04-1996 01:54:44.550       0.98286       1.98833   0.00000E+00
03-04-1996 01:55:30.550       4.48557       1.98833   0.00000E+00
03-04-1996 01:56:16.550       1.70527       1.98833   0.00000E+00
03-04-1996 01:57:02.550       5.20802       1.98833   0.00000E+00
