;  1996-05-15/13:19:27  12   PESA change: esa_mcpl              ab b9
1996-05-15/13:19:00     .87  1.e-6 
1996-05-30/00:00:00     1.  1.e-6 
1996-06-28/14:44:00     1.  1.e-6    ;eesa mcp only?
;  1996-07-02/02:03:00  12   PESA change: esa_mcpl              b9 bc
;  1996-07-02/02:16:43  12   PESA change: esa_mcpl              bc bf
;  1996-07-02/02:30:27  12   PESA change: esa_mcpl              bf c5
;  1996-07-02/02:44:11  12   PESA change: esa_mcpl              c5 b9
;  1996-07-02/04:06:33  12   PESA change: esa_mcpl              b9 bc
;  1996-07-02/04:20:16  12   PESA change: esa_mcpl              bc c2
;  1996-07-02/04:34:00  12   PESA change: esa_mcpl              c2 c5
;  1996-07-02/04:47:44  12   PESA change: esa_mcpl              c5 b9
1996-07-02/05:00:00     1.  1.e-6  
;1996-07-07/13:34:00     1.  1.e-6   ;glitch

;  1996-10-21/01:25:09  12   PESA change: esa_mcpl              b9 bc
;  1996-10-21/01:38:54  12   PESA change: esa_mcpl              bc bf
;  1996-10-21/01:52:39  12   PESA change: esa_mcpl              bf b9
;  1996-10-21/03:01:25  12   PESA change: esa_mcpl              b9 b6
;  1996-10-21/03:15:10  12   PESA change: esa_mcpl              b6 b9
;  1996-10-21/03:28:55  12   PESA change: esa_mcpl              b9 bc
;  1996-10-21/03:42:40  12   PESA change: esa_mcpl              bc b9

;  1996-11-01/09:22:39  12   PESA change: esa_mcpl              b9 b3
;  1996-11-01/09:35:43  12   PESA change: esa_mcpl              b3 b0
;  1996-11-01/09:48:47  12   PESA change: esa_mcpl              b0 b3
;  1996-11-01/10:01:51  12   PESA change: esa_mcpl              b3 b9

;  1997-01-27/02:27:12  12   PESA change: esa_mcpl              b9 b3
;  1997-01-27/02:40:18  12   PESA change: esa_mcpl              b3 b9
;  1997-01-27/02:53:25  12   PESA change: esa_mcpl              b9 bf
;  1997-01-27/03:06:32  12   PESA change: esa_mcpl              bf bc
;  1997-01-27/03:19:38  12   PESA change: esa_mcpl              bc b9
;  1997-01-27/05:30:44  12   PESA change: esa_mcpl              b9 b3
;  1997-01-27/05:43:51  12   PESA change: esa_mcpl              b3 ad
;  1997-01-27/05:56:57  12   PESA change: esa_mcpl              ad b9
;  1997-01-27/06:10:04  12   PESA change: esa_mcpl              b9 bc
;  1997-01-27/06:36:17  12   PESA change: esa_mcpl              bc b9

;  1997-04-10/01:23:43  12   PESA change: esa_mcpl              b9 b3
;  1997-04-10/01:37:00  12   PESA change: esa_mcpl              b3 ad
;  1997-04-10/01:50:16  12   PESA change: esa_mcpl              ad bf
;  1997-04-10/02:03:33  12   PESA change: esa_mcpl              bf bc
;  1997-04-10/02:16:49  12   PESA change: esa_mcpl              bc b9
;  1997-04-10/04:42:52  12   PESA change: esa_mcpl              b9 ad
