   Notable events in the life of the Wind 3D Plasma Experiment

!  1994-11-21/16:45:52  12   PESA change: esa_mcpl              94 98

!  1994-11-21/16:45:52  10   Command #77 (1) [a1da430098] 

!  1994-11-21/16:46:38  10   Command #78 (1) [a1e8700000] 

!  1994-11-21/16:47:32  12   PESA change: esa_mcpl              98 9a

!  1994-11-21/16:47:24  10   Command #79 (1) [a1da43009a] 

!  1994-11-21/16:48:10  10   Command #80 (1) [a1e8700000] 

!  1994-11-21/16:49:24  12   PESA change: esa_mcpl              9a 9c

!  1994-11-21/16:49:42  10   Command #82 (2) [a1e8700000] 

!  1994-11-21/16:51:03  12   PESA change: esa_mcpl              9c 9e

!  1994-11-21/16:51:14  10   Command #83 (1) [a1da43009e] 

!  1994-11-21/16:52:00  10   Command #84 (1) [a1e8700000] 

!  1994-11-21/16:52:55  12   PESA change: esa_mcpl              9e a0

!  1994-11-21/16:53:32  10   Command #85 (1) [a1da4300a0] 

!  1994-11-21/16:54:47  12   PESA change: esa_mcpl              a0 a2

!  1994-11-21/16:54:18  10   Command #86 (1) [a1e8700000] 

!  1994-11-21/16:55:04  10   Command #88 (2) [a1e8700000] 

!  1994-11-21/16:56:39  12   PESA change: esa_mcpl              a2 a3

!  1994-11-21/16:56:36  10   Command #89 (1) [a1da4300a3] 

!  1994-11-21/16:57:22  10   Command #90 (1) [a1e8700000] 

!  1994-11-21/16:58:31  12   PESA change: esa_mcpl              a3 a4

!  1994-11-21/16:58:54  10   Command #92 (2) [a1e8700000] 

!  1994-11-21/17:01:01  12   PESA change: min_swp_level         1080 0500
!  1994-11-21/17:01:01  12   PESA change: step_swp_level        000c 0080

!  1994-11-21/17:01:12  10   Command #94 (2) [a1db160500] 

!  1994-11-21/17:03:30  12   PESA change: min_swp_level         0500 0600

!  1994-11-21/17:03:30  10   Command #95 (1) [a1db160600] 

!  1994-11-21/17:05:09  12   PESA change: min_swp_level         0600 0700

!  1994-11-21/17:05:48  10   Command #96 (1) [a1db160700] 

!  1994-11-21/17:07:14  12   PESA change: min_swp_level         0700 0800

!  1994-11-21/17:07:20  10   Command #97 (1) [a1db160800] 

!  1994-11-21/17:11:23  12   PESA change: inst_mode             44 24
!  1994-11-21/17:11:23  12   PESA change: esa_swp_high          e2c8 e30c
!  1994-11-21/17:11:23  12   PESA change: esa_swp_low           e2c8 e331
!  1994-11-21/17:11:23  12   PESA change: min_swp_level         0800 0200

!  1994-11-21/17:11:10  10   PESA Reset (2)
!  1994-11-21/17:11:10  10   Command #103 (6) [a094000000] 

!  1994-11-21/17:14:14  10   Command #104 (1) [a074227722] 

!  1994-11-21/17:19:28  12   PESA change: inst_mode             24 44

!  1994-11-21/17:19:36  10   Command #105 (1) [a1da010044] 

!  1994-11-21/18:39:20  10   PESA Reset (3)
!  1994-11-21/18:39:20  10   EESA Reset (1)
!  1994-11-21/18:39:20  10   Command #108 (3) [a096000000] 

!  1994-11-21/18:49:18  10   MAIN Version: 71
!  1994-11-21/18:49:18  10   Command #115 (7) [a1d0387e00] 

!  1994-11-21/18:51:18  12   PESA change: inst_config           04 03
!  1994-11-21/18:51:18  12   PESA change: inst_mode             44 0f

!  1994-11-21/18:51:18  12   EESA change: s2d_l                 0300 015e

!  1994-11-21/18:51:36  10   Command #116 (1) [a1d0070067] 

!  1994-11-21/18:52:22  10   PESA Version:  0
!  1994-11-21/18:52:22  10   EESA Version:  0
!  1994-11-21/18:52:22  10   PESA Reset (0)
!  1994-11-21/18:52:22  10   EESA Reset (0)

!  1994-11-21/18:53:08  10   PESA Version: 43
!  1994-11-21/18:53:08  10   EESA Version: 43
!  1994-11-21/18:53:08  10   MAIN Reset (1)
!  1994-11-21/18:53:08  10   PESA Reset (4)
!  1994-11-21/18:53:08  10   EESA Reset (2)
!  1994-11-21/18:53:08  10   Command #117 (1) [a091000000] 
!  1994-11-21/18:53:08  30   New mode: <E   2  S>

!  1994-11-21/18:53:54  30   New mode: <    2B S>

!  1994-11-21/19:39:54  10   Command #120 (3) [a066000000] 

!  1994-11-21/19:45:50  12   EESA change: pha_proc              f2b0 b1a9
!  1994-11-21/19:45:50  12   EESA change: pha_pkt_maker         f2b0 b23c

!  1994-11-21/21:09:04  12   EESAX change: map3                  d97f d8ac

!  1994-11-21/21:09:36  10   Command #129 (9) [a1e4f00000] 

!  1994-11-21/21:10:22  10   EESA Reset (3)
!  1994-11-21/21:10:22  10   Command #130 (1) [a092000000] 

!  1994-11-21/21:49:28  10   Command #133 (3) [a1da410000] 

!  1994-11-21/21:58:31  12   EESA change: esa_mcph              7b 00

